"Problem_Type","Instance_Type","Objectives","Variables","Constraints","Instance_ID","Algorithm","LP_Solver","Total_Threads","Num_Non_Dom_Pts_Found","Hypervolume_Gap","Cardinality","Coverage","Uniformity","Time"
"BOMBLP","Hadi",2,20,20,"1","V1","CPLEXEfficient",1,3,38.1052927,0.0,0.1766581,8.6666667,0.0012231
"BOMBLP","Hadi",2,20,20,"1","V2","CPLEXEfficient",1,4,36.364929,0.0,0.1722571,6.5,0.0016561
"BOMBLP","Hadi",2,20,20,"1","V3","CPLEXEfficient",1,29,3.5978581,0.0,0.0022282,0.8965517,0.022583
"BOMBLP","Hadi",2,20,20,"1","V4","CPLEXEfficient",1,25,5.4707001,0.0,0.0317207,1.04,0.080941
"BOMBLP","Hadi",2,20,20,"1","V5","CPLEX",1,24,6.5715415,0.0,0.0240862,1.0833333,0.7705159
"BOMBLP","Hadi",2,20,20,"1","V5","CPLEXEfficient",1,27,5.4350386,0.0,0.0096456,0.962963,0.1584132
"BOMBLP","Hadi",2,20,20,"1","V5","CPLEXEfficient",2,30,3.5621967,0.0,0.0022282,0.8666667,0.756237
"BOMBLP","Hadi",2,20,20,"1","V5","CPLEXEfficient",3,30,3.5621967,0.0,0.0022282,0.8666667,0.2457869
"BOMBLP","Hadi",2,20,20,"1","V5","CPLEXEfficient",4,30,3.4808894,0.0,0.0022282,0.8666667,0.2596619
"BOMBLP","Hadi",2,20,20,"1","V5","Clp",1,25,3.711726,0.0,0.004233,1.04,0.7390869
"BOMBLP","Hadi",2,20,20,"1","V5","GLPK",1,29,3.5670633,0.0,0.0022282,0.8965517,0.205178
"BOMBLP","Hadi",2,20,20,"1","V5","Gurobi",1,23,4.4072617,0.0,0.0153935,1.1304348,1.5610852
"BOMBLP","Hadi",2,20,20,"1","V5","SCIP",1,27,3.60662,0.0,0.0027441,0.962963,3.7197709
"BOMBLP","Hadi",2,20,20,"2","V1","CPLEXEfficient",1,5,20.799674,0.0,0.0975093,10.6,0.0017982
"BOMBLP","Hadi",2,20,20,"2","V2","CPLEXEfficient",1,7,18.751676,0.0,0.0941371,7.5714286,0.002501
"BOMBLP","Hadi",2,20,20,"2","V3","CPLEXEfficient",1,23,2.6486222,0.0,0.0379242,2.3043478,0.008909
"BOMBLP","Hadi",2,20,20,"2","V4","CPLEXEfficient",1,23,2.6486222,0.0,0.0379242,2.3043478,0.04175
"BOMBLP","Hadi",2,20,20,"2","V5","CPLEX",1,38,1.3897454,0.0,0.0153226,1.3947368,0.7448668
"BOMBLP","Hadi",2,20,20,"2","V5","CPLEXEfficient",1,40,1.3543256,0.0,0.0281867,1.325,0.3117559
"BOMBLP","Hadi",2,20,20,"2","V5","CPLEXEfficient",2,51,1.1826348,0.0,0.0266233,1.0392157,0.1321299
"BOMBLP","Hadi",2,20,20,"2","V5","CPLEXEfficient",3,62,0.6737048,0.0,0.0108564,0.8548387,0.149308
"BOMBLP","Hadi",2,20,20,"2","V5","CPLEXEfficient",4,66,0.5805926,0.0,0.0103163,0.8030303,0.1319211
"BOMBLP","Hadi",2,20,20,"2","V5","Clp",1,38,1.3999851,0.0,0.0153226,1.3947368,0.836705
"BOMBLP","Hadi",2,20,20,"2","V5","GLPK",1,42,1.0726972,0.0,0.0138309,1.2926829,0.1213641
"BOMBLP","Hadi",2,20,20,"2","V5","Gurobi",1,37,1.3999851,0.0,0.0153226,1.4324324,1.528661
"BOMBLP","Hadi",2,20,20,"2","V5","SCIP",1,43,1.3254471,0.0,0.0145895,1.2325581,3.9196799
"BOMBLP","Hadi",2,20,20,"3","V1","CPLEXEfficient",1,6,38.1556222,0.0,0.1582187,7.1666667,0.0023181
"BOMBLP","Hadi",2,20,20,"3","V2","CPLEXEfficient",1,8,22.5045654,0.0,0.1046417,5.375,0.0030339
"BOMBLP","Hadi",2,20,20,"3","V3","CPLEXEfficient",1,34,0.6812295,0.0,0.0045203,1.2647059,0.0609269
"BOMBLP","Hadi",2,20,20,"3","V4","CPLEXEfficient",1,34,0.6812295,0.0,0.0045203,1.2647059,0.0608051
"BOMBLP","Hadi",2,20,20,"3","V5","CPLEX",1,39,0.0581202,0.0,0.0011612,1.1025641,0.252594
"BOMBLP","Hadi",2,20,20,"3","V5","CPLEXEfficient",1,39,0.0621286,0.0,0.0012419,1.1025641,0.145731
"BOMBLP","Hadi",2,20,20,"3","V5","CPLEXEfficient",2,38,0.0766727,0.0,0.0017135,1.1315789,0.2071722
"BOMBLP","Hadi",2,20,20,"3","V5","CPLEXEfficient",3,36,0.0746346,0.0,0.0019005,1.1944444,0.204756
"BOMBLP","Hadi",2,20,20,"3","V5","CPLEXEfficient",4,39,0.0621286,0.0,0.0012419,1.1025641,0.1890841
"BOMBLP","Hadi",2,20,20,"3","V5","Clp",1,42,0.1018848,0.0,0.0015897,1.0238095,0.8651519
"BOMBLP","Hadi",2,20,20,"3","V5","GLPK",1,20,3.8481388,0.0,0.0229423,2.3888889,0.1967151
"BOMBLP","Hadi",2,20,20,"3","V5","Gurobi",1,24,1.0612154,0.0,0.025183,1.7916667,2.149682
"BOMBLP","Hadi",2,20,20,"3","V5","SCIP",1,33,0.0675037,0.0,0.0030353,1.3030303,4.0990551
"BOMBLP","Hadi",2,20,20,"4","V1","CPLEXEfficient",1,4,23.6371662,0.0,0.1191797,14.5,0.001415
"BOMBLP","Hadi",2,20,20,"4","V2","CPLEXEfficient",1,5,22.8977858,0.0,0.1154127,11.6,0.0021689
"BOMBLP","Hadi",2,20,20,"4","V3","CPLEXEfficient",1,57,3.1150642,5.1724138,0.0126487,0.9649123,0.0252771
"BOMBLP","Hadi",2,20,20,"4","V4","CPLEXEfficient",1,60,4.2639653,5.1724138,0.0473346,0.9166667,0.1389821
"BOMBLP","Hadi",2,20,20,"4","V5","CPLEX",1,61,1.9575331,6.8965517,0.0063754,0.8852459,0.9129469
"BOMBLP","Hadi",2,20,20,"4","V5","CPLEXEfficient",1,63,2.0934004,5.1724138,0.0128609,0.8730159,0.249701
"BOMBLP","Hadi",2,20,20,"4","V5","CPLEXEfficient",2,72,1.213037,6.8965517,0.0021319,0.75,0.28233
"BOMBLP","Hadi",2,20,20,"4","V5","CPLEXEfficient",3,72,1.2101014,6.8965517,0.00215,0.75,0.262017
"BOMBLP","Hadi",2,20,20,"4","V5","CPLEXEfficient",4,73,1.1869034,6.8965517,0.0021319,0.739726,0.235662
"BOMBLP","Hadi",2,20,20,"4","V5","Clp",1,58,1.8152755,6.8965517,0.0063269,0.9310345,1.112741
"BOMBLP","Hadi",2,20,20,"4","V5","GLPK",1,60,1.5488013,5.1724138,0.0057053,0.9166667,0.229588
"BOMBLP","Hadi",2,20,20,"4","V5","Gurobi",1,51,4.1863548,6.8965517,0.0210767,1.0588235,2.036495
"BOMBLP","Hadi",2,20,20,"4","V5","SCIP",1,66,1.7528634,6.8965517,0.0111878,0.8181818,5.3828342
"BOMBLP","Hadi",2,20,20,"5","V1","CPLEXEfficient",1,3,38.5402905,0.0,0.143793,9.6666667,0.0013349
"BOMBLP","Hadi",2,20,20,"5","V2","CPLEXEfficient",1,4,35.6239879,0.0,0.1413117,7.25,0.0017049
"BOMBLP","Hadi",2,20,20,"5","V3","CPLEXEfficient",1,22,3.9416068,0.0,0.0083384,1.3181818,0.005867
"BOMBLP","Hadi",2,20,20,"5","V4","CPLEXEfficient",1,26,3.3757867,0.0,0.0060014,1.1153846,0.04796
"BOMBLP","Hadi",2,20,20,"5","V5","CPLEX",1,37,1.9694028,0.0,0.005612,0.7837838,0.2164588
"BOMBLP","Hadi",2,20,20,"5","V5","CPLEXEfficient",1,29,3.2576581,0.0,0.0060014,1.0,0.13833
"BOMBLP","Hadi",2,20,20,"5","V5","CPLEXEfficient",2,29,3.2576581,0.0,0.0060014,1.0,0.1103089
"BOMBLP","Hadi",2,20,20,"5","V5","CPLEXEfficient",3,29,3.2576581,0.0,0.0060014,1.0,0.0925
"BOMBLP","Hadi",2,20,20,"5","V5","CPLEXEfficient",4,29,3.2576581,0.0,0.0060014,1.0,0.0835619
"BOMBLP","Hadi",2,20,20,"5","V5","Clp",1,25,3.5506759,0.0,0.0078517,1.16,0.266839
"BOMBLP","Hadi",2,20,20,"5","V5","GLPK",1,29,3.5738074,0.0,0.007247,1.0,0.1127169
"BOMBLP","Hadi",2,20,20,"5","V5","Gurobi",1,27,3.4115341,0.0,0.005612,1.0740741,1.157604
"BOMBLP","Hadi",2,20,20,"5","V5","SCIP",1,28,3.3038001,0.0,0.0060014,1.0357143,3.8145051
"BOMBLP","Hadi",2,40,40,"10","V1","CPLEXEfficient",1,11,12.5816137,0.0,0.0571316,9.7272727,0.0057859
"BOMBLP","Hadi",2,40,40,"10","V2","CPLEXEfficient",1,13,8.2877639,0.0,0.0415846,8.2307692,0.00688
"BOMBLP","Hadi",2,40,40,"10","V3","CPLEXEfficient",1,35,2.4295539,0.0,0.0176419,3.0571429,0.0255041
"BOMBLP","Hadi",2,40,40,"10","V4","CPLEXEfficient",1,94,1.6952018,0.0,0.0138863,1.1758242,0.4312088
"BOMBLP","Hadi",2,40,40,"10","V5","CPLEX",1,138,0.632415,0.0,0.003504,0.7810219,1.5173481
"BOMBLP","Hadi",2,40,40,"10","V5","CPLEXEfficient",1,129,0.653195,0.0,0.0036314,0.8492063,0.9016809
"BOMBLP","Hadi",2,40,40,"10","V5","CPLEXEfficient",2,161,0.47737,0.0,0.0023323,0.672956,1.0444181
"BOMBLP","Hadi",2,40,40,"10","V5","CPLEXEfficient",3,168,0.401886,0.0,0.0011721,0.6484848,1.3218179
"BOMBLP","Hadi",2,40,40,"10","V5","CPLEXEfficient",4,175,0.4007653,0.0,0.0011432,0.622093,1.2573879
"BOMBLP","Hadi",2,40,40,"10","V5","Clp",1,120,0.6980906,0.0,0.0036593,0.8916667,2.880085
"BOMBLP","Hadi",2,40,40,"10","V5","GLPK",1,127,0.6629447,0.0,0.0038544,0.856,1.0736201
"BOMBLP","Hadi",2,40,40,"10","V5","Gurobi",1,136,0.5903851,0.0,0.0032007,0.7925926,8.7290769
"BOMBLP","Hadi",2,40,40,"10","V5","SCIP",1,130,0.647531,0.0,0.0036645,0.8294574,20.1379619
"BOMBLP","Hadi",2,40,40,"6","V1","CPLEXEfficient",1,11,8.5380232,0.0,0.0488304,22.9090909,0.0049829
"BOMBLP","Hadi",2,40,40,"6","V2","CPLEXEfficient",1,13,8.2959455,0.0,0.0473387,19.3846154,0.0072629
"BOMBLP","Hadi",2,40,40,"6","V3","CPLEXEfficient",1,38,1.8385627,0.0,0.0139065,6.6315789,0.4218318
"BOMBLP","Hadi",2,40,40,"6","V4","CPLEXEfficient",1,140,1.3216829,0.0,0.0087358,1.8,0.4601419
"BOMBLP","Hadi",2,40,40,"6","V5","CPLEX",1,239,0.3012058,0.0,0.0021,1.0543933,2.411459
"BOMBLP","Hadi",2,40,40,"6","V5","CPLEXEfficient",1,241,0.3443052,0.0,0.00233,1.0456432,1.596169
"BOMBLP","Hadi",2,40,40,"6","V5","CPLEXEfficient",2,251,0.2881754,0.0,0.0018141,1.0039841,1.8238089
"BOMBLP","Hadi",2,40,40,"6","V5","CPLEXEfficient",3,320,0.2394332,0.0,0.0011892,0.7899687,1.7862649
"BOMBLP","Hadi",2,40,40,"6","V5","CPLEXEfficient",4,260,0.2685104,0.0,0.0016441,0.9692308,1.5966001
"BOMBLP","Hadi",2,40,40,"6","V5","Clp",1,302,0.2069367,0.0,0.0008641,0.8372093,6.460062
"BOMBLP","Hadi",2,40,40,"6","V5","GLPK",1,198,0.3382552,0.0,0.0026419,1.2989691,1.480406
